,importance score
LINC01409,0.01913604608447873
LINC01128,0.0094806569715216
NOC2L,5.399263540702638e-05
HES4,0.06155189772869973
ISG15,0.10718053996735814
C1orf159,0.10360718895765163
TNFRSF18,0.32144106845044856
TNFRSF4,0.1278099318113371
SDF4,0.0017581074600494747
UBE2J2,0.0015205240059447376
ACAP3,0.07375749319580352
INTS11,0.030892323374337814
DVL1,0.0033066453778745684
AURKAIP1,0.0037751254328607484
CCNL2,0.0027455346281864716
MRPL20,0.01375587219024316
ATAD3B,0.1009130346592577
ATAD3A,0.16107126424400425
SSU72,0.005959037909078894
AL645728.1,0.002325204660319556
MIB2,0.04113642533920723
MMP23B,0.022937243434208693
CDK11B,0.007586770938977252
SLC35E2B,0.07129471226710811
CDK11A,0.021768095099276685
SLC35E2A,0.018823045569008327
NADK,0.0011449568253817063
GNB1,0.1250305339967834
PRKCZ,0.03706226829630239
FAAP20,0.024748855140995212
SKI,0.2057562428650892
MORN1,0.05899176827761643
RER1,0.008844392335203066
PEX10,0.019388417675346076
PLCH2,0.011555643615903862
PANK4,0.001961996978051402
AL139246.5,0.08285882961337651
TNFRSF14,0.0526234999539943
MEGF6,0.04809343725824341
TPRG1L,0.02188091416709116
WRAP73,0.06579094256531581
LRRC47,0.011153145887708096
CEP104,0.023658398653371788
DFFB,0.05090724966336898
C1orf174,0.06129686214559498
NPHP4,0.01849095223290732
KCNAB2,0.055839965498145315
RPL22,0.1334450142603031
ACOT7,0.045408057529919055
TNFRSF25,0.01159572503958119
NOL9,0.039901462800167445
ZBTB48,0.019026141071732207
KLHL21,0.024714541240148522
PHF13,0.059564464992003505
THAP3,0.013298793626813774
DNAJC11,0.0204949895492442
CAMTA1,0.0506101257962583
VAMP3,0.025685361524409183
PER3,0.17984621211223725
PARK7,0.10081759533220334
ERRFI1,0.01932011721942623
RERE,0.14003509643245143
ENO1,0.05335683051842083
H6PD,0.03476885937779205
SPSB1,0.006557724745435664
SLC25A33,0.02759216251675612
PIK3CD,0.16574429750942746
CLSTN1,0.020886230411885153
CTNNBIP1,0.008254634217210358
LZIC,0.0032369434811727145
UBE4B,0.02391261809615144
KIF1B,0.023966441917342596
PGD,0.022385305522034396
DFFA,0.010663660924004528
PEX14,0.06256290315301527
CASZ1,0.04516455452103323
TARDBP,0.019181166395718086
SRM,0.0015906826470230091
EXOSC10,0.033737202402869405
MTOR,0.04436607357198026
UBIAD1,0.004715928005449652
FBXO44,0.08913879666962969
MAD2L2,0.06350945354260247
AGTRAP,0.10647478385348852
MTHFR,0.03361215979105575
CLCN6,0.002771828556479504
AL021155.5,0.011521883213647463
KIAA2013,0.11291805747845708
PLOD1,0.010934456503682652
MFN2,0.0873129865158585
MIIP,0.008399682576331226
TNFRSF1B,0.0027892376234129245
VPS13D,0.053406230473683605
DHRS3,0.04444597615255732
PRDM2,0.0727526220942801
KAZN,0.03124747048624504
EFHD2,0.0002798127313066647
CASP9,0.0217944397918027
DNAJC16,0.011451819232511061
DDI2,0.03208068200688907
PLEKHM2,0.09863457004281893
AL450998.2,0.14550770097289542
SPEN,0.08126997075722103
ZBTB17,0.02976341494418985
FBXO42,0.05655332293351969
SZRD1,0.04620683341328742
NECAP2,0.02633127886481394
CROCC,0.04204063634415744
ATP13A2,0.01397075167635904
SDHB,0.007862542008618465
PADI4,0.01164619805948589
RCC2,0.1811221701988844
ARHGEF10L,0.008692177034890789
IFFO2,0.026387594815434956
UBR4,0.1465336889214594
EMC1-AS1,0.0032996671148939603
EMC1,0.06763676331248224
AKR7A2,0.004151160433080118
CAPZB,0.5680308635885426
MICOS10,0.02639199339924553
AL031727.2,0.012515705201464822
NBL1,0.006005128083706066
TMCO4,0.053752915730915576
OTUD3,0.018446645666151344
CDA,0.005476456982160496
PINK1-AS,0.02169890337146228
DDOST,0.01181412299378822
HP1BP3,0.037293329822434954
EIF4G3,0.043709084326055685
ECE1,0.017400629744821764
USP48,0.06814399874251083
LINC00339,0.00016158832239456002
CDC42,0.03614904259888353
CDC42-AS1,0.011175081719695622
CDC42-IT1,0.015914100491961857
ZBTB40,0.02123000724978326
KDM1A,0.05531005603973403
AL031428.1,0.012679404647507312
LUZP1,0.04657957779570555
HNRNPR,0.7203830643092711
ID3,0.042347065112118366
MDS2,0.06037923410600749
RPL11,0.08018113694915323
ELOA-AS1,0.031687758342555127
ELOA,0.11771949516535499
PITHD1,0.14323254302362007
LYPLA2,0.04843309295249345
HMGCL,0.03145273603719279
CNR2,0.03851303044718589
PNRC2,0.02865202530273964
SRSF10,0.4102884033666752
IFNLR1,0.023203614935595012
NIPAL3,0.015041834621928188
RCAN3AS,0.0003048955072732712
RCAN3,0.11460974634554286
SRRM1,0.3720137533238495
CLIC4,0.007462787174475412
RUNX3,0.16082869347096027
SYF2,0.03908341759375445
RSRP1,0.05637255886660713
TMEM50A,0.14036761496541164
MACO1,0.019563987405664705
LDLRAP1,0.06661073293791867
MAN1C1,0.19695807181803598
SELENON,0.029397346431503518
MTFR1L,0.02180573404732602
STMN1,0.08401258347076002
PAFAH2,0.00238320421491992
ZNF593,0.024563745726705614
CEP85,0.027935781040330968
SH3BGRL3,0.047340750132984354
UBXN11,0.00251333364279399
CD52,0.24353742414055327
DHDDS,0.008028281378979128
HMGN2,0.038813877023776484
RPS6KA1,0.02038381517702412
ARID1A,0.024310214420324647
ZDHHC18,0.05433530080372362
GPN2,0.010124636627772406
GPATCH3,0.0048256264238932004
NUDC,0.0582139092224009
SLC9A1,0.09201832245219727
WDTC1,0.0037630114506947425
TMEM222,0.00786050386911095
SYTL1,0.005766857216424301
WASF2,0.018179664448648145
AHDC1,0.004870842025203571
FGR,0.026672210273548054
IFI6,0.0006573006185714718
FAM76A,0.034339290191054354
STX12,0.08431420499899903
THEMIS2,0.02487998130546265
RPA2,0.056133175935321494
EYA3,0.016746854864574813
PTAFR,0.036427657209434035
DNAJC8,0.0288747133063266
ATP5IF1,0.10607897528006455
SESN2,0.00035054645607915873
PHACTR4,0.07622712647553227
RCC1,0.2524366806734644
SNHG3,0.0029509342620737443
TRNAU1AP,0.01774366041282773
SNHG12,0.02830602532255475
TAF12,0.033144645926895706
AL360012.1,0.036084756784085306
GMEB1,0.0015522254655839299
YTHDF2,0.10384343634320074
EPB41,0.013089378410068879
SRSF4,0.0858822126050904
MATN1-AS1,0.001945169972091641
LAPTM5,0.0867706476453336
PUM1,0.018155634055075313
SNRNP40,0.005873984817148275
ZCCHC17,0.030083842536140017
PEF1,0.02964310179730065
AL136115.2,0.0076482012538071995
PTP4A2,0.1911082080308169
KHDRBS1,0.31043564482056446
TMEM39B,0.03477460735523075
KPNA6,0.05362025323164171
TXLNA,0.011648980094189972
EIF3I,0.02829664900164819
LCK,0.016769916516402177
HDAC1,0.02117030265688145
MARCKSL1,0.0001578261946836374
FAM229A,0.007081514708647873
BSDC1,0.056596410889007985
ZBTB8OS,0.0008545635595085727
RBBP4,0.05688919175757042
YARS,0.12223026674161064
S100PBP,0.00033608975115797114
RNF19B,0.03965796492834568
AK2,0.01372689737081101
TRIM62,0.0020098573190288228
ZNF362,0.024956218013172205
PHC2,0.037605730836458115
SMIM12,0.012581713980371974
ZMYM6,0.031695210951477294
ZMYM1,0.010999608423202951
SFPQ,0.17148667061256348
ZMYM4,0.013276372417174548
KIAA0319L,0.07894925396300895
TFAP2E,0.032699557337234064
PSMB2,0.006398713097053906
AGO4,0.06133569883027905
AGO1,0.05152195087925322
AGO3,0.025455557969867825
