,importance score
LINC01409,0.04158618289403062
LINC01128,0.04857131028903751
NOC2L,0.0001427146189550339
HES4,0.2374011914640068
ISG15,0.2702000958865641
C1orf159,0.2246501864612673
TNFRSF18,0.6640045825372816
TNFRSF4,0.4239406533291225
SDF4,0.003805853112864624
UBE2J2,0.007139164245937296
ACAP3,0.33086367530703376
INTS11,0.03013523708528167
DVL1,0.008939274916347448
AURKAIP1,0.014884684368428802
CCNL2,0.006075629028180031
MRPL20,0.02661622839062059
ATAD3B,0.19292467287916376
ATAD3A,0.35134698886439925
SSU72,0.013136835755057771
AL645728.1,0.007776035421427738
MIB2,0.06258425906269549
MMP23B,0.04720367896210375
CDK11B,0.025268434445922555
SLC35E2B,0.23184171938252696
CDK11A,0.07521866828540417
SLC35E2A,0.06049695479765
NADK,0.003114406396285946
GNB1,0.5521993924527241
PRKCZ,0.10310539052664916
FAAP20,0.06900473321683225
SKI,0.27321952192662063
MORN1,0.16395646149009546
RER1,0.02983942675832991
PEX10,0.05722303841426537
PLCH2,0.03180416978513974
PANK4,0.009790138920130656
AL139246.5,0.2471846665454156
TNFRSF14,0.052841463655180304
MEGF6,0.3943845350918765
TPRG1L,0.09180132913279451
WRAP73,0.12891269127847332
LRRC47,0.02218493076962393
CEP104,0.05198900009263183
DFFB,0.16961516625839995
C1orf174,0.13377418454171638
NPHP4,0.036280298634394255
KCNAB2,0.11781032887226531
RPL22,0.0851479775605843
ACOT7,0.1201247572936106
TNFRSF25,0.055647788469654035
NOL9,0.0911919692338925
ZBTB48,0.06862269705044188
KLHL21,0.05067738495743676
PHF13,0.206806550518951
THAP3,0.02618996880352618
DNAJC11,0.03799455547405675
CAMTA1,0.23848599703622217
VAMP3,0.10120063116128442
PER3,0.47379042437372365
PARK7,0.20105139364928554
ERRFI1,0.059924426341255034
RERE,1.0225647099357502
ENO1,0.1016545874332551
H6PD,0.12732375047777678
SPSB1,0.016887562637368448
SLC25A33,0.08547991949993654
PIK3CD,0.14112265339667923
CLSTN1,0.0651556819259992
CTNNBIP1,0.03219499520561101
LZIC,0.010104863559050735
UBE4B,0.06854253548006412
KIF1B,0.09697096474212094
PGD,0.06533541646295357
DFFA,0.028928700416817346
PEX14,0.14392735104098117
CASZ1,0.12826941218011567
TARDBP,0.07123212919691639
SRM,0.00595217533401444
EXOSC10,0.17513352821672115
MTOR,0.13161301741207843
UBIAD1,0.010140854033539938
FBXO44,0.18131149499305146
MAD2L2,0.1695685885661167
AGTRAP,0.23244742109919406
