,importance score
LINC01409,0.06317538125745988
LINC01128,0.0681994830082672
NOC2L,0.0001960443396062581
HES4,0.2665029841689193
ISG15,0.5391002486962422
C1orf159,0.5671908245915036
TNFRSF18,0.9876037401801245
TNFRSF4,0.8200877277045832
SDF4,0.008947748585951137
UBE2J2,0.0046248234844087155
ACAP3,0.3167889498709253
INTS11,0.05108051486709894
DVL1,0.018229598972274427
AURKAIP1,0.0294068556661352
CCNL2,0.011684337826873083
MRPL20,0.03094751788885417
ATAD3B,0.22216817123342153
ATAD3A,0.689769004614766
SSU72,0.03095962072158885
AL645728.1,0.008907685853291738
MIB2,0.21857599343656553
MMP23B,0.07467242817018617
CDK11B,0.039633055997009385
SLC35E2B,0.42272252327116006
CDK11A,0.28205269705500674
SLC35E2A,0.08407048026843858
NADK,0.003538274234625879
GNB1,1.8640525194999176
PRKCZ,0.1500213642848974
FAAP20,0.09787519356467694
SKI,0.987010509328878
MORN1,0.1694981734487807
RER1,0.04934008124278093
PEX10,0.24410580590496214
PLCH2,0.05209498152205531
PANK4,0.01915244210048057
AL139246.5,0.40630656734238163
TNFRSF14,0.1413645485680387
MEGF6,0.28863354583647144
TPRG1L,0.19346580962838247
WRAP73,0.11299608707704352
LRRC47,0.04024910926061474
CEP104,0.07341262001754953
DFFB,0.39433042314762023
C1orf174,0.2586163644377415
NPHP4,0.057933541295050545
KCNAB2,0.40452532515415146
RPL22,0.20871272234126617
ACOT7,0.20054244067770388
TNFRSF25,0.08276805836526346
NOL9,0.0861195533256348
ZBTB48,0.0971513770895061
KLHL21,0.06586908696808888
PHF13,0.38151200793467455
THAP3,0.0332467767259058
DNAJC11,0.07016788044654956
CAMTA1,0.19017350193360305
VAMP3,0.1735128012266966
PER3,0.5940488419968422
PARK7,0.361593923333488
ERRFI1,0.0557234951922149
RERE,0.5610009094297563
ENO1,0.10557451286496168
H6PD,0.09844874815163757
SPSB1,0.016646240179641336
SLC25A33,0.13261324323265766
PIK3CD,0.22119432304951725
